idx,prem,hyp,batch_name,uploaded_at,source_file
18,"Esta es Fanny Flono. Creció en Ag-- Augusta, GA, y va a hablar sobre algunas historias de su infancia.",Fanny Flono tuvo que reprogramar y no puede contarnos ninguna historia hoy.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
19,"Esta es Fannie Flono. Creció en Ag-- Augusta, GA, y va a hablar sobre algunas historias de su infancia.","Fannie Flono está acá y nos hablará sobre sus historias de infancia cuando creció en Augusta, GA.",xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
20,"Esta es Fanny Flono. Creció en Ag-- Augusta, GA, y va a hablar sobre algunas historias de su infancia.",Fanny Flono pudo hablarnos hoy a pesar de su apretada agenda.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
21,Y había echado a cinco destacamentos de U2.,Traté con el U2.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
22,Y había echado a cinco destacamentos de U2.,No lidié con el U2 en absoluto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
23,Y había echado a cinco destacamentos de U2.,Trabajé con los destacamentos para el U2 todos los días durante cuarenta años.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
24,Yo era el único que alguna vez ejecutaba los reguladores para la prueba en las cámaras de altitud en miniatura.,No me gustó ser el único en ejecutar los reguladores para las pruebas.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
25,Yo era el único que alguna vez ejecutaba los reguladores para la prueba en las cámaras de altitud en miniatura.,Las pruebas se realizaron en las cámaras de altitud en miniatura.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
26,Yo era el único que alguna vez ejecutaba los reguladores para la prueba en las cámaras de altitud en miniatura.,Hubo algunos de nosotros que dirigimos los reguladores para la prueba.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
27,"Soy, este..., el sargento jefe maestro, jubilado, como dijo Ricardo.",Todavía estoy trabajando para este día.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
28,"Soy, este..., el sargento jefe maestro, jubilado, como dijo Ricardo.",Me retiré en 2002.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
29,"Soy, este..., el sargento jefe maestro, jubilado, como dijo Ricardo.",Ricardo te dijo que estaba retirado.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
30,"Hay algunas proyecciones del flujo de caja y, este..., eh, es para tal y cual Cuti, el nombre del cliente.",El cliente llamado Cuti gana $ 10000 al mes.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
31,"Hay algunas proyecciones del flujo de caja y, este..., eh, es para tal y cual Cutty, el nombre del cliente.",Hay un cliente llamado Cutty.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
32,"Hay algunas proyecciones del flujo de caja y, este..., eh, es para tal y cual Cutty, el nombre del cliente.",No tenemos clientes llamados Cutty.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
33,La chica que me puede ayudar está en la otra punta de la ciudad.,La chica de la que necesito ayuda vive muy lejos.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
34,La chica que me puede ayudar está en la otra punta de la ciudad.,La chica que me va a ayudar está a 8 kilómetros de distancia.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
35,La chica que me puede ayudar está en la otra punta de la ciudad.,No hay nadie que pueda ayudarme.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
36,"Pero ellos estaban divididos acerca de quiénes eran las manos de campo y quiénes eran los niños de la casa, era algo así como...",Todos estuvieron de acuerdo en que todos trabajarían en el campo.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
37,"Pero ellos estaban divididos acerca de quiénes eran las manos de campo y quiénes eran los chicos de la casa, era algo así como...",No podían ponerse de acuerdo sobre quién era una mano de campo y quién pertenecía a la casa.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
38,"Pero ellos estaban divididos acerca de quiénes eran las manos de campo y quiénes eran los niños de la casa, era algo así como...",No podían estar de acuerdo con quién debería trabajar en el campo de algodón y quién debería limpiar los pisos.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
39,"Hoy nos hablará sobre la Tercera SS, el U2 Quick y el Blackbird.",Él ha decidido no hablar más.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
40,"Hoy nos hablará sobre la Tercera SS, el U2 Quick y el Blackbird.",Él habla de tres submarinos diferentes.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
41,"Hoy nos hablará sobre la Tercera SS, el U2 Quick y el Blackbird.",Él habla de tres cosas.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
42,"Quiero decir que ellos solo tenían, algo así como, cinco hijos. Uno de ellos murió.",Todos sus hijos sobrevivieron.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
43,"Quiero decir que ellos solo tenían, algo así como, cinco hijos. Uno de ellos murió.",Un niño murió de los cinco.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
44,"Quiero decir que ellos solo tenían, algo así como, cinco hijos. Uno de ellos murió.",El niño que murió había nacido con problemas de salud.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
45,"Y, por supuesto, Androv Gromikov no respondió a nada, pero disponíamos de toda la información de las películas hechas por el U2.",El U2 tomó mucha película.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
46,"Y, por supuesto, Androv Gromikov no respondió a nada, pero disponíamos de toda la información de las películas hechas por el U2.",El U2 tomó una tonelada de película de debajo del agua.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
47,"Y, por supuesto, Androv Gromikov no respondió a nada, pero disponíamos de toda la información de las películas hechas por el U2.","No teníamos material de archivo, así que tuvimos que adivinar.",xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
48,"Dijo que le caían lágrimas de los ojos, y después dijo que José fue hasta el porche.","Cuando le dijo que subiera al porche, tenía lágrimas en los ojos.",xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
49,"Dijo que le caían lágrimas de los ojos, y después dijo que José fue hasta el porche.",Ella se secó rápidamente las lágrimas después de tirar a José fuera del porche.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
50,"Dijo que le caían lágrimas de los ojos, y después dijo que José fue hasta el porche.",Estaba tan feliz de ver a José que comenzó a llorar.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
51,"Incluso si la aeronave estaba en llamas, ¿por qué se quemaría y se derretiría a través de un componente de plomo para que la radiación se filtre?",La radiación también se puede contener durante un incendio.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
52,"Incluso si la aeronave estaba en llamas, ¿por qué se quemaría y se derretiría si tiene un componente de plomo para que la radiación se filtre?",La radiación se filtraría de un componente de plomo después de que el avión se quemara.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
53,"Incluso si la aeronave estaba en llamas, ¿por qué se quemaría y se derretiría si tiene un componente de plomo para que la radiación se filtre?",La radiación no se filtraría durante un incendio.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
54,"Este es el sargento jefe maestro Carlos Francis, jubilado de las fuerzas aéreas estadounidenses.",El Jefe está retirado de la Fuerza Aérea de los Estados Unidos.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
55,"Este es el sargento jefe maestro Clemente Francis, jubilado de las fuerzas aéreas estadounidenses.",El Jefe recientemente se retiró hace unas semanas.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
56,"Este es el sargento jefe maestro Clemente Francisco, jubilado de las fuerzas aéreas estadounidenses.",El Jefe de la Fuerza Aérea de los Estados Unidos acaba de comenzar su carrera esta semana.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
57,"Bueno, llegó hasta el punto en que hay dos o tres aeronaves que llegan en una semana y no sabía a dónde volaban.",Más de un avión llega cada semana.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
58,"Bueno, llegó hasta el punto en que hay dos o tres aeronaves que llegan en una semana y no sabía a dónde volaban.",El incremento del tráfico de aviones es problemático.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
59,"Bueno, llegó hasta el punto en que hay dos o tres aeronaves que llegan en una semana y no sabía a dónde volaban.",Nunca llega ningún avión.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
60,Ellos ya habían tenido su entrenamiento en los trajes presurizados y me había costado algo de tiempo ponerme un traje presurizado.,Se tardan tres meses en completar el entrenamiento en el uso de un traje de presión.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
61,Ellos ya habían tenido su entrenamiento en los trajes presurizados y me había costado algo de tiempo ponerme un traje presurizado.,El entrenamiento para usar un traje a presión requiere tiempo.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
62,Ellos ya habían tenido su entrenamiento en los trajes presurizados y me había costado algo de tiempo ponerme un traje presurizado.,Podríamos haberte entrenado para usar un traje de presión completo para el final del día.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
63,"Quiero decir que no había ningún peligro de entrar con la bomba porque no explotaría, independientemente de lo duro que tocó el suelo.",La bomba había sido desactivada por el piloto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
64,"Quiero decir que no había ningún peligro de entrar con la bomba porque no explotaría, independientemente de lo duro que tocó el suelo.",La bomba no tuvo ninguna posibilidad de explotar.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
65,"Quiero decir que no había ningún peligro de entrar con la bomba porque no explotaría, independientemente de lo duro que tocó el suelo.",Había un gran peligro de que la bomba explotara.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
66,Y qué tal si se parece exactamente a lo que intento hacer.,No estoy seguro de cómo te parece esto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
67,Y qué tal si se parece exactamente a lo que intento hacer.,"Obviamente, estoy tratando de hacerlo.",xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
68,Y qué tal si se parece exactamente a lo que intento hacer.,Estoy tratando de terminar mi proyecto la próxima semana.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
69,"Pero de igual forma, los animales se soltarían todo el tiempo, en especial las cabras.",Las cabras escapaban del granero todos los días.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
71,"Pero de igual forma, los animales se perderían todo el tiempo, en especial las cabras.",Las cabras estaban seguras y a salvo.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
72,"Cuando entramos, las puertas estaban cerradas.",Todas las puertas estaban abiertas.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
73,"Cuando entramos, las puertas estaban cerradas.",Teníamos las llaves con nosotros.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
74,"Cuando entramos, las puertas estaban cerradas.",Entramos a pesar de que las puertas estaban cerradas.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
75,De manera que solo tenía que agarrar los totales y probar y resolverlo así.,Estoy seguro de que los totales son todo lo que necesito para resolver esto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
76,De manera que solo tenía que agarrar los totales y probar y resolverlo así.,"No tengo la menor idea de qué hacer solo con los totales. Por favor, dame más detalles para deshacer este entuerto.",xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
77,De manera que solo tenía que tomar los totales y probar y resolverlo así.,Lo calcularé basándome en los totales.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
78,"Él vino, abrió la puerta y me acuerdo de mirar atrás y ver la expresión de su rostro, y pude ver que estaba decepcionado.",Estaba tan emocionado y lleno de alegría que prácticamente golpeó la puerta del marco.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
79,"Él vino, abrió la puerta y recuerdo mirar atrás y ver la expresión de su rostro, y pude ver que estaba decepcionado.","Intentaba no hacernos sentir culpables, pero sabíamos que le habíamos causado problemas.",xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
80,"Él vino, abrió la puerta y recuerdo mirar atrás y ver la expresión de su rostro, y pude ver que estaba decepcionado.",Solo por la mirada en su cara cuando entró por la puerta supe que estaba decepcionado.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
81,"Entonces, no tengo ninguna historia concreta.",No tengo una tienda en particular.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
82,"Entonces, no tengo ninguna historia concreta.",Tengo una tienda en concreto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
83,"Entonces, no tengo ninguna historia concreta.",Hay muchas tiendas.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
84,Y fue que él nunca tuvo que hacer algo por sí mismo.,Él recibe mucha ayuda.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
85,Y fue que él nunca tuvo que hacer algo por sí mismo.,Él recibe ayuda con sus comidas y ropa.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
86,Y fue que él nunca tuvo que hacer algo por sí mismo.,Él es muy independiente.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
87,"Así que yo pensaba, Dios mío, y Ramona estaba ahí.",Ramona estaba en el suelo acurrucada en posición fetal.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
88,"Así que yo pensaba, Dios mío, y Ramona estaba ahí.",Ramona me estaba juzgando en silencio.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
89,"Así que yo pensaba, Dios mío, y Ramona estaba ahí.",Ramona se mantenía erguida mientras yo permanecía ahí boquiabierto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
90,¡Y en realidad era ligera!,"Comió mucha comida, pero no aumentó de peso.",xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
91,¡Y en realidad era ligera!,Ella no pesaba mucho.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
92,¡Y en realidad era ligera!,Ella estaba muy feliz.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
93,No sé si se quedó en Augusta después de eso.,Él continuó viviendo en Augusta incluso después de los ataques.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
94,No sé si se quedó en Augusta después de eso.,Él continuó viviendo en Augusta.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
95,No sé si se quedó en Augusta después de eso.,Se mudó fuera de Augusta de inmediato.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
96,"Todo lo que hicimos... nunca nos dijeron a dónde iban, ni siquiera cuando salían de la base para ir a algún sitio donde se quedaban algún tiempo.",Nunca pregunté a dónde iban.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
97,"Todo lo que hicimos... nunca nos dijeron a dónde iban, ni siquiera cuando salían de la base para ir a algún sitio donde se quedaban algún tiempo.",Siempre nos dejan saber dónde estaban y hacia dónde iban.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
98,"Todo lo que hicimos... nunca nos dijeron a dónde iban, ni siquiera cuando salían de la base para ir a algún sitio donde se quedaban algún tiempo.",Nunca nos dijeron a dónde iban.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
99,Dijeron: Estamos pagando por un lugar para que te quedes.,No pagarán nada por nosotros.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
100,Dijeron: Estamos pagando por un lugar para que te quedes.,Están pagando por la vivienda para mí y mis hermanos.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
101,Dijeron: Estamos pagando por un lugar para que te quedes.,Están pagando por la vivienda.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
103,"Bueno, al día siguiente, por supuesto, el presidente Kennedy, mm..., bloqueó Cuba y, mmm..., nuestros buques detuvieron un barco ruso que se dirigía a las afueras de Cuba y encontraron misiles.",No pararon ningún barco porque no querían conflicto.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
104,"Bueno, al día siguiente, por supuesto, el presidente Kennedy, mmm..., bloqueó Cuba y, mmm..., nuestros buques detuvieron un barco ruso que se dirigía a las afueras de Cuba y encontraron misiles.",Encontraron 20 misiles en el barco.,xnli_rp_full_2026-05-27,2026-05-27 20:44:25.316087+00,validation_app\to_upload\chunk_02.jsonl
105,"En cualquier caso, el hombre entra.",El hombre entró a la sala del tribunal.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
106,"En cualquier caso, el hombre entra.",El hombre entró a la habitación.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
107,"En cualquier caso, el hombre entra.",El hombre corrió hacia el lado contrario.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
108,"Mmm..., mis abuelos siempre fueron personas muy, muy cariñosas y algunas veces estuvieron mis papás y sencillamente lo pasamos muy bien allá abajo.",Me llevó mucho tiempo manejar hasta la casa de mis abuelos.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
109,"Mmm..., mis abuelos siempre fueron personas muy, muy cariñosas y algunas veces estuvieron mis papás y sencillamente lo pasamos muy bien allá abajo.",Mis abuelos eran una pareja muy cariñosa.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
110,"Mmm..., mis abuelos siempre fueron personas muy, muy cariñosas y algunas veces estuvieron mis papás y sencillamente lo pasamos muy bien allá abajo.",Mis abuelos siempre fueron muy maniáticos y nunca me gustó ir a su casa.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
111,No tuve tiempo para ingresar todo tipo de lo que sea.,Podía haber terminado de ingresarlo más tarde.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
112,No tuve tiempo para meter todo tipo de lo que sea.,Lo metí todo a tiempo.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
113,No tuve tiempo para ingresar todo tipo de lo que sea.,Me quedé sin tiempo para ingresarlo todo.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
114,"Y, uno de mis trabajos en ese momento fue entrenar a las personas para que pongan paracaídas en un disparador de armas nucleares, que detona la propia bomba atómica.",La bomba atómica no tiene gatillo.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
115,"Y, uno de mis trabajos en ese momento fue entrenar a las personas para que pongan paracaídas en un disparador de armas nucleares, que detona la propia bomba atómica.",El detonador detona la bomba cuando se tira de él.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
116,"Y, uno de mis trabajos en ese momento fue entrenar a las personas para que pongan paracaídas en un disparador de armas nucleares, que detona la propia bomba atómica.",Sólo necesitás un poco de fuerza para tirar del gatillo de la bomba atómica.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
117,"Mi abuela solía contarme muchas historias diferentes sobre sus años de infancia y, especialmente, solía hablar sobre su familia y cómo era la vida en esa época.",Siempre disfrutaba escuchando las historias de mi abuela.,xnli_rp_full_2026-05-27,2026-05-27 20:44:12.043724+00,validation_app\to_upload\chunk_01.jsonl
