id,created_at,anotador_id,idx,respuesta,comentario_prem,comentario_hyp,quiere_mas,region,feedback_formato,palabras_marcadas
47,2026-05-02 17:10:15.123905+00,e34cf881-10c8-4050-916f-00e239bb6239,1289,si,,,,,,[]
48,2026-05-02 17:10:22.216728+00,e34cf881-10c8-4050-916f-00e239bb6239,1301,si,,,,,,[]
49,2026-05-02 17:11:50.195359+00,e34cf881-10c8-4050-916f-00e239bb6239,1354,si,,,,,,[]
50,2026-05-02 17:12:43.602966+00,e34cf881-10c8-4050-916f-00e239bb6239,1428,si,"Si podes, busca historia argentina.",,,,,[]
51,2026-05-02 17:13:51.395133+00,e34cf881-10c8-4050-916f-00e239bb6239,1462,si,,,,,,[]
52,2026-05-02 17:14:18.386247+00,e34cf881-10c8-4050-916f-00e239bb6239,1464,si,,,,,,[]
53,2026-05-02 17:15:22.918212+00,e34cf881-10c8-4050-916f-00e239bb6239,1480,parcialmente,"cambiar ciencias por ciencia. ",,,,,[]
54,2026-05-02 17:15:45.893969+00,e34cf881-10c8-4050-916f-00e239bb6239,1500,si,,,,,,[]
55,2026-05-02 17:17:01.733166+00,e34cf881-10c8-4050-916f-00e239bb6239,1503,parcialmente,"aseguro, sin acento. Al corriente de, no sobre.",,,,,[]
56,2026-05-02 17:18:25.72113+00,e34cf881-10c8-4050-916f-00e239bb6239,1689,parcialmente,"En vez de se dejo caer, se tiro en una silla",,,,,[]
57,2026-05-02 17:23:57.124984+00,e34cf881-10c8-4050-916f-00e239bb6239,1839,si,,,,,,[]
58,2026-05-02 17:27:23.975146+00,e34cf881-10c8-4050-916f-00e239bb6239,2430,parcialmente,"Cambiar Dan Square por Plaza algo... 
cambiar estuvo sin por se quedo sin.",,,,,[]
59,2026-05-02 18:59:23.332733+00,e34cf881-10c8-4050-916f-00e239bb6239,1990,si,"Santa Claus -- Papa Noél
Fue un tonto - es un tonto, hipotesis.     Cambiar Ogle por nombre argentino",,,,,[]
60,2026-05-02 22:28:17.630133+00,e34cf881-10c8-4050-916f-00e239bb6239,2578,parcialmente,Carolina del Sur -- Misiones mejor,,,,,[]
61,2026-05-02 22:29:32.099216+00,e34cf881-10c8-4050-916f-00e239bb6239,2671,parcialmente,Lawyers Alliance de Nueva York -- Alianza de Abogados de Buenos Aires,,,,,[]
62,2026-05-02 22:29:53.055679+00,e34cf881-10c8-4050-916f-00e239bb6239,2868,parcialmente,,,,,,[]
63,2026-05-02 22:30:44.455657+00,e34cf881-10c8-4050-916f-00e239bb6239,3001,si,,,,,,[]
64,2026-05-02 22:59:02.956136+00,e34cf881-10c8-4050-916f-00e239bb6239,3030,si,,,,,,[]
65,2026-05-02 23:02:36.515672+00,e34cf881-10c8-4050-916f-00e239bb6239,3105,si,,,,,,[]
66,2026-05-02 23:09:35.614028+00,e34cf881-10c8-4050-916f-00e239bb6239,3294,si,"En vez de:“chaquetas que contienen nitrocelulosa”
Dirías:“prendas con explosivos ocultos”
o“camperas con material explosivo”",,,,,[]
67,2026-05-02 23:10:45.579825+00,e34cf881-10c8-4050-916f-00e239bb6239,3295,no,"chaquetas denuevo, cambiar",,,,,[]
68,2026-05-02 23:10:54.591908+00,e34cf881-10c8-4050-916f-00e239bb6239,3391,si,,,,,,[]
69,2026-05-02 23:11:05.141938+00,e34cf881-10c8-4050-916f-00e239bb6239,3395,si,,,,,,[]
70,2026-05-02 23:11:44.631368+00,e34cf881-10c8-4050-916f-00e239bb6239,3471,si,,,,,,[]
71,2026-05-02 23:12:00.015079+00,e34cf881-10c8-4050-916f-00e239bb6239,3541,si,,,,,,[]
72,2026-05-02 23:12:09.402254+00,e34cf881-10c8-4050-916f-00e239bb6239,3548,si,,,,,,[]
73,2026-05-02 23:13:22.492842+00,e34cf881-10c8-4050-916f-00e239bb6239,3558,si,,,,,,[]
74,2026-05-02 23:14:25.810251+00,e34cf881-10c8-4050-916f-00e239bb6239,3680,parcialmente,"jóvenes -- adolescentes ",Acción de Gracias podría ser cambiado con Pascuás o otra festividad que se haga en argentina,,,,[]
75,2026-05-02 23:14:52.129287+00,e34cf881-10c8-4050-916f-00e239bb6239,3708,si,"repleto -- lleno, cargado",,,,,[]
76,2026-05-02 23:15:02.200302+00,e34cf881-10c8-4050-916f-00e239bb6239,3799,si,,,,,,[]
77,2026-05-02 23:16:28.17414+00,e34cf881-10c8-4050-916f-00e239bb6239,3817,si,"No se entiende bien el contexto. ...no son donantes, 81 1,4 por ciento. Esta todo junto y no se entiende que es ese 81.",,,,,[]
78,2026-05-02 23:17:52.267541+00,e34cf881-10c8-4050-916f-00e239bb6239,3856,parcialmente,"bachillerato -- grado, no decimos bachillerato. 

O quizá es primaria y secundaria si es para el colegio.",Las escuelas -- Los colegios,,,,[]
79,2026-05-02 23:18:04.090439+00,e34cf881-10c8-4050-916f-00e239bb6239,3963,parcialmente,,,,,,[]
80,2026-05-02 23:18:27.759271+00,e34cf881-10c8-4050-916f-00e239bb6239,4026,si,Es poco rioplatense culturalmente puede ser removida.,,,,,[]
81,2026-05-02 23:18:59.842044+00,e34cf881-10c8-4050-916f-00e239bb6239,4054,si,,,,,,[]
82,2026-05-02 23:20:46.10905+00,e34cf881-10c8-4050-916f-00e239bb6239,4062,si,"Lamar Alexander -- Mauricio Macri ",,,,,[]
83,2026-05-02 23:21:20.334854+00,e34cf881-10c8-4050-916f-00e239bb6239,4095,si,"ello -- eso
A través de todo eso, ",,,,,[]
84,2026-05-02 23:21:28.728502+00,e34cf881-10c8-4050-916f-00e239bb6239,4335,si,,,,,,[]
85,2026-05-02 23:21:47.621752+00,e34cf881-10c8-4050-916f-00e239bb6239,4479,si,,,,,,[]
86,2026-05-02 23:23:35.921069+00,e34cf881-10c8-4050-916f-00e239bb6239,4820,si,,,,,,[]
87,2026-05-02 23:23:54.001201+00,e34cf881-10c8-4050-916f-00e239bb6239,4823,si,,,,,,[]
88,2026-05-02 23:24:22.152452+00,e34cf881-10c8-4050-916f-00e239bb6239,4958,si,,,,,,[]
89,2026-05-02 23:24:42.616212+00,e34cf881-10c8-4050-916f-00e239bb6239,4964,si,,,,,,[]
90,2026-05-02 23:24:56.320364+00,e34cf881-10c8-4050-916f-00e239bb6239,4971,si,,,,,,[]
91,2026-05-03 13:09:30.080571+00,e34cf881-10c8-4050-916f-00e239bb6239,59,si,,,,,,[]
92,2026-05-03 13:23:27.288632+00,e34cf881-10c8-4050-916f-00e239bb6239,90,si,"ligera, puede ser flaca, cambio cultural. Revisar como era en ingles",,,,,[]
93,2026-05-03 13:23:50.151012+00,e34cf881-10c8-4050-916f-00e239bb6239,280,si,,,,,,[]
94,2026-05-03 13:24:51.825276+00,e34cf881-10c8-4050-916f-00e239bb6239,289,si,"regañarme -- retarme, echarme la culpa, culparme",,,,,[]
95,2026-05-03 13:25:07.273034+00,e34cf881-10c8-4050-916f-00e239bb6239,445,si,,,,,,[]
96,2026-05-03 14:23:44.625774+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,493,si,,"Joven? Yo no uso joven, uso “chico”",,,,[]
97,2026-05-03 14:25:44.97589+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,560,parcialmente,Manzanas->cuadras,Bueno en-> Buena,,,,[]
98,2026-05-03 14:26:18.952612+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,815,si,,,,,,[]
99,2026-05-03 14:26:49.277812+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,954,si,,,,,,[]
100,2026-05-03 14:27:16.136283+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1233,si,,,,,,[]
101,2026-05-03 14:27:25.448755+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1249,parcialmente,,,,,,[]
102,2026-05-03 14:28:33.348244+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1254,parcialmente,,,,,,[]
103,2026-05-03 14:29:38.814922+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1306,si,,,,,,[]
104,2026-05-03 14:29:58.138802+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1310,parcialmente,"Que ",,,,,[]
105,2026-05-03 14:31:10.1431+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1335,si,,,,,,[]
106,2026-05-03 14:32:27.469458+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1471,parcialmente,"Cilindro-> Se repite dos veces y no queda bien
La oración en sí puede ser que sea correcta, pero me parece muy técnica.
A mí me suena raro",Agujero en las motocicletas-> Raro,,,,[]
107,2026-05-03 14:33:04.039092+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1515,si,"Un poco poética, pero no suena rara.",,,,,[]
108,2026-05-03 14:33:22.662461+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1603,si,Este -> El,,,,,[]
109,2026-05-03 14:42:30.342352+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1619,parcialmente,"Me suena raro en general.
No sé qué tiene que ver el tono de una persona por ser reconocido por un rey ",,,,,[]
110,2026-05-03 14:42:39.740897+00,3b25c632-bd79-4b1c-8836-4d1976fc0485,1754,si,,,,,,[]
111,2026-05-03 14:52:53.052823+00,0d22825b-0042-450f-8c43-48f7627afeba,1842,si,,,,,,[]
112,2026-05-03 14:57:06.521228+00,0d22825b-0042-450f-8c43-48f7627afeba,2078,parcialmente,"Megaro Mousikis — cambiar por Fluvial Tigre
metro — Tren
Sofias — El puerto","a tiro de piedra —- ahí nomas, a la vuelta, a unos metros.",,,,[]
113,2026-05-03 14:58:15.969347+00,0d22825b-0042-450f-8c43-48f7627afeba,2090,si,,,,,,[]
114,2026-05-03 14:58:32.19996+00,0d22825b-0042-450f-8c43-48f7627afeba,2452,si,,,,,,[]
115,2026-05-03 14:59:47.599608+00,0d22825b-0042-450f-8c43-48f7627afeba,2524,si,,,,,,[]
116,2026-05-03 15:29:15.928898+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,2601,si,capital de estado -- capital provincial,,true,buenos_aires_amba,Bueno,[]
117,2026-05-03 15:29:48.073147+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,2633,si,,,true,buenos_aires_amba,Bueno,[]
118,2026-05-03 15:30:43.549652+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,2723,si,,,true,buenos_aires_amba,Bueno,[]
119,2026-05-03 15:31:02.591378+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,2758,si,,,true,buenos_aires_amba,Bueno,[]
120,2026-05-03 15:31:32.062956+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,2785,si,,,true,buenos_aires_amba,Bueno,[]
121,2026-05-03 16:51:31.537164+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,155,si,,,true,buenos_aires_amba,Bueno,[]
122,2026-05-03 18:16:42.573937+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,194,si,"Suena raro, no se entiende. Se vive se aprende, ya sabés , cuando probás, eh hasta acá todo bien, el avión es raro.",,true,buenos_aires_amba,Bueno,[]
123,2026-05-03 18:27:38.865227+00,4b4e1908-a9de-4b46-af8b-aae3d1b8f237,266,si,Kennedy - Otro presidente argentino,,true,buenos_aires_amba,Bueno,[]
124,2026-05-03 18:34:17.369301+00,c925a183-9dba-43e8-ade3-23eb567b03f2,1800,parcialmente,"Lord -- el señor, el magnate
Bishop -- Obispo",,true,buenos_aires_amba,,[]
125,2026-05-03 18:34:44.01767+00,4886c7f1-7927-4a55-8df9-f881da1fed56,2231,si,,,true,buenos_aires_amba,,[]
126,2026-05-03 20:22:31.796664+00,a5aecadd-3736-4a4d-ac5b-72c1362ae9f1,489,parcialmente,Nosotros no decimos colega,,,,,[]
127,2026-05-03 20:27:21.375663+00,de9b9c09-8546-43df-a790-09e6de8cec31,970,si,,,true,buenos_aires_amba,,[]
128,2026-05-03 20:27:32.289672+00,de9b9c09-8546-43df-a790-09e6de8cec31,982,parcialmente,,,true,buenos_aires_amba,,[]
129,2026-05-03 20:28:06.934923+00,de9b9c09-8546-43df-a790-09e6de8cec31,992,si,,,true,buenos_aires_amba,,[]
130,2026-05-03 20:28:26.40286+00,de9b9c09-8546-43df-a790-09e6de8cec31,1012,parcialmente,No uso la palabra menudo,,true,buenos_aires_amba,,[]
131,2026-05-03 20:28:47.512179+00,ad132eac-bce5-4440-b976-19d96562550e,1415,parcialmente,,"Engañosos suena a traducción de “tricky” pero no suena natural en castellano en este contexto. ",true,buenos_aires_amba,,[]
132,2026-05-03 20:28:58.035276+00,de9b9c09-8546-43df-a790-09e6de8cec31,1022,parcialmente,En consecuencia es rara,Está me suena,true,buenos_aires_amba,,[]
133,2026-05-03 20:29:09.333583+00,de9b9c09-8546-43df-a790-09e6de8cec31,1088,si,,,true,buenos_aires_amba,,[]
134,2026-05-03 20:29:18.367516+00,de9b9c09-8546-43df-a790-09e6de8cec31,1102,si,,,true,buenos_aires_amba,,[]
135,2026-05-03 20:29:28.498428+00,de9b9c09-8546-43df-a790-09e6de8cec31,1125,si,,,true,buenos_aires_amba,,[]
136,2026-05-03 20:29:30.493305+00,7323ee60-4df0-480d-9508-ec0284461913,1930,parcialmente,No,"No ",true,buenos_aires_amba,,[]
137,2026-05-03 20:29:48.438535+00,de9b9c09-8546-43df-a790-09e6de8cec31,1292,si,,,true,buenos_aires_amba,,[]
138,2026-05-03 20:30:00.526844+00,de9b9c09-8546-43df-a790-09e6de8cec31,1298,si,,,true,buenos_aires_amba,,[]
139,2026-05-03 20:30:11.011524+00,7323ee60-4df0-480d-9508-ec0284461913,2049,si,No,No,true,buenos_aires_amba,,[]
140,2026-05-03 20:30:12.036772+00,de9b9c09-8546-43df-a790-09e6de8cec31,1312,si,,,true,buenos_aires_amba,,[]
141,2026-05-03 20:30:29.626709+00,de9b9c09-8546-43df-a790-09e6de8cec31,1316,si,,,true,buenos_aires_amba,,[]
142,2026-05-03 20:30:29.711965+00,ad132eac-bce5-4440-b976-19d96562550e,1443,si,,,true,buenos_aires_amba,,[]
143,2026-05-03 20:30:45.201484+00,7323ee60-4df0-480d-9508-ec0284461913,2108,si,No,No,true,buenos_aires_amba,,[]
144,2026-05-03 20:30:47.321901+00,de9b9c09-8546-43df-a790-09e6de8cec31,1320,si,,,true,buenos_aires_amba,,[]
145,2026-05-03 20:30:55.408571+00,de9b9c09-8546-43df-a790-09e6de8cec31,1343,parcialmente,,,true,buenos_aires_amba,,[]
146,2026-05-03 20:31:03.947289+00,de9b9c09-8546-43df-a790-09e6de8cec31,1348,si,,,true,buenos_aires_amba,,[]
147,2026-05-03 20:31:15.366618+00,7323ee60-4df0-480d-9508-ec0284461913,2177,parcialmente,No,No,true,buenos_aires_amba,,[]
148,2026-05-03 20:31:50.118631+00,7323ee60-4df0-480d-9508-ec0284461913,2197,si,No,No,true,buenos_aires_amba,,[]
149,2026-05-03 20:32:10.996214+00,7323ee60-4df0-480d-9508-ec0284461913,2221,si,No,No,true,buenos_aires_amba,,[]
150,2026-05-03 20:32:44.56573+00,7323ee60-4df0-480d-9508-ec0284461913,2223,si,No,No,true,buenos_aires_amba,,[]
151,2026-05-03 20:33:03.398284+00,7323ee60-4df0-480d-9508-ec0284461913,2268,si,No,No,true,buenos_aires_amba,,[]
152,2026-05-03 20:33:19.703832+00,ad132eac-bce5-4440-b976-19d96562550e,1491,parcialmente,,"Dudar en algo suena raro. Dudan sobre sus habilidades.  ",true,buenos_aires_amba,,[]
153,2026-05-03 20:33:20.183241+00,7323ee60-4df0-480d-9508-ec0284461913,2274,parcialmente,No,No,true,buenos_aires_amba,,[]
154,2026-05-03 20:33:36.517724+00,7323ee60-4df0-480d-9508-ec0284461913,2326,parcialmente,No,No,true,buenos_aires_amba,,[]
155,2026-05-03 20:33:40.623247+00,ad132eac-bce5-4440-b976-19d96562550e,1529,si,,,true,buenos_aires_amba,,[]
156,2026-05-03 20:34:00.48504+00,7323ee60-4df0-480d-9508-ec0284461913,2332,parcialmente,Si,No,true,buenos_aires_amba,,[]
157,2026-05-03 20:34:32.821634+00,7323ee60-4df0-480d-9508-ec0284461913,2336,parcialmente,No,No,true,buenos_aires_amba,,[]
158,2026-05-03 20:34:49.857588+00,7323ee60-4df0-480d-9508-ec0284461913,2343,parcialmente,No,No,true,buenos_aires_amba,,[]
159,2026-05-03 20:35:04.052822+00,84f5fc2b-9790-4458-80a0-9d599dbc4e7e,2986,parcialmente,,,,,,[]
160,2026-05-03 20:35:11.483817+00,7323ee60-4df0-480d-9508-ec0284461913,2472,si,Mo,No,true,buenos_aires_amba,,[]
161,2026-05-03 20:35:29.174067+00,7323ee60-4df0-480d-9508-ec0284461913,2496,si,No,No,true,buenos_aires_amba,,[]
162,2026-05-03 20:37:17.926162+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2497,parcialmente,"tendrás que ir manejando un rato por las afueras si queres jugar, ya que esto es nuevo para Hungría.",No,true,buenos_aires_amba,,[]
163,2026-05-03 20:37:32.681923+00,84f5fc2b-9790-4458-80a0-9d599dbc4e7e,3067,parcialmente,Haber sospechado,,,,,[]
164,2026-05-03 20:37:43.988956+00,ad132eac-bce5-4440-b976-19d96562550e,1542,parcialmente,"La frase es muy larga y tiene exceso de comas, la estructura es rara.",,true,buenos_aires_amba,,[]
165,2026-05-03 20:37:53.886657+00,ad132eac-bce5-4440-b976-19d96562550e,1623,si,,,true,buenos_aires_amba,,[]
166,2026-05-03 20:38:02.426993+00,ad132eac-bce5-4440-b976-19d96562550e,1628,si,,,true,buenos_aires_amba,,[]
167,2026-05-03 20:38:27.561416+00,ad132eac-bce5-4440-b976-19d96562550e,1657,si,"Como en este caso es sin tilde. ",,true,buenos_aires_amba,,[]
168,2026-05-03 20:39:40.486045+00,84f5fc2b-9790-4458-80a0-9d599dbc4e7e,3117,si,,,,,,[]
169,2026-05-03 20:41:19.254478+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2533,parcialmente,"Han planeado = planeado ",Hemos planeado = planeado,true,buenos_aires_amba,,[]
170,2026-05-03 20:41:34.41857+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2593,si,,,true,buenos_aires_amba,,[]
171,2026-05-03 20:44:18.36171+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2599,no,,,true,buenos_aires_amba,,[]
172,2026-05-03 20:45:14.384121+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2603,si,,,true,buenos_aires_amba,,[]
173,2026-05-03 21:19:38.232402+00,4fa7ed61-0adf-41a1-aeac-22d64d4a0859,4891,no,,,false,buenos_aires_interior,,[]
174,2026-05-03 21:19:56.980719+00,4fa7ed61-0adf-41a1-aeac-22d64d4a0859,4918,parcialmente,,,false,buenos_aires_interior,,[]
175,2026-05-03 21:20:08.020243+00,4fa7ed61-0adf-41a1-aeac-22d64d4a0859,4926,parcialmente,,,false,buenos_aires_interior,,[]
176,2026-05-03 21:20:19.723637+00,4fa7ed61-0adf-41a1-aeac-22d64d4a0859,4945,parcialmente,,,false,buenos_aires_interior,,[]
177,2026-05-03 21:20:28.542909+00,4fa7ed61-0adf-41a1-aeac-22d64d4a0859,4951,si,,,false,buenos_aires_interior,,[]
178,2026-05-03 21:20:52.6102+00,4fa7ed61-0adf-41a1-aeac-22d64d4a0859,4956,parcialmente,,,false,buenos_aires_interior,,[]
179,2026-05-04 01:19:55.707439+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2627,si,,,true,buenos_aires_amba,,[]
180,2026-05-04 01:20:12.368024+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2646,si,,,true,buenos_aires_amba,,[]
181,2026-05-04 01:20:25.382634+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2755,si,,,true,buenos_aires_amba,,[]
182,2026-05-04 01:20:32.872344+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2789,si,,,true,buenos_aires_amba,,[]
183,2026-05-04 01:22:57.6654+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2794,si,,,true,buenos_aires_amba,,[]
184,2026-05-04 01:23:44.75549+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2875,parcialmente,"No sé a qué se refiere con caldera ",,true,buenos_aires_amba,,[]
185,2026-05-04 01:25:19.187957+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2906,parcialmente,"Cambiar Baltimore por algo de altgentina ",,true,buenos_aires_amba,,[]
186,2026-05-04 01:25:28.37998+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2921,si,,,true,buenos_aires_amba,,[]
187,2026-05-04 01:30:17.864534+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2930,si,,,true,buenos_aires_amba,,[]
188,2026-05-04 01:30:26.781035+00,c8ff2838-4c89-4b69-9572-c3fdf7782346,2982,si,,,true,buenos_aires_amba,,[]
189,2026-05-04 01:32:45.532762+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,372,si,"Ok ",Ok,true,buenos_aires_amba,,[]
190,2026-05-04 01:33:03.615444+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,374,si,,,true,buenos_aires_amba,,[]
191,2026-05-04 01:33:34.572605+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,394,si,,,true,buenos_aires_amba,,[]
192,2026-05-04 01:35:07.648455+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,405,parcialmente,Acá se usa más “igual” en lugar de “de todos modos”,,true,buenos_aires_amba,,[]
193,2026-05-04 01:35:51.954438+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,419,parcialmente,,Acá se diría “cómo vas a hacer esto”,true,buenos_aires_amba,,[]
194,2026-05-04 02:06:14.355671+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,423,parcialmente,"Están mal puestas las comas. 
“Estimados” no es comúnmente usado en Argentina",,true,buenos_aires_amba,,[]
195,2026-05-04 02:06:58.955133+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,438,si,,,true,buenos_aires_amba,,[]
196,2026-05-04 02:07:27.057424+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,452,si,,,true,buenos_aires_amba,,[]
197,2026-05-04 02:07:56.18692+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,502,si,,,true,buenos_aires_amba,,[]
198,2026-05-04 02:08:02.620327+00,ad132eac-bce5-4440-b976-19d96562550e,1626,si,,,true,buenos_aires_amba,,[]
199,2026-05-04 02:08:33.083874+00,ad132eac-bce5-4440-b976-19d96562550e,1631,parcialmente,,"Suena mejor el “por siempre” al final de la oración: estaré lleno de malicia y odio por siempre. ",true,buenos_aires_amba,,[]
200,2026-05-04 02:08:39.063627+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,526,si,,,true,buenos_aires_amba,,[]
201,2026-05-04 02:09:02.450733+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,568,si,,,true,buenos_aires_amba,,[]
202,2026-05-04 02:09:59.653049+00,ad132eac-bce5-4440-b976-19d96562550e,1645,si,,,true,buenos_aires_amba,,[]
203,2026-05-04 02:11:10.450112+00,ad132eac-bce5-4440-b976-19d96562550e,1673,si,,,true,buenos_aires_amba,,[]
204,2026-05-04 02:11:19.095216+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,580,parcialmente,"Mal las comas ",,true,buenos_aires_amba,,[]
205,2026-05-04 02:11:31.628858+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,602,si,,,true,buenos_aires_amba,,[]
206,2026-05-04 02:11:31.893232+00,ad132eac-bce5-4440-b976-19d96562550e,1699,si,,,true,buenos_aires_amba,,[]
207,2026-05-04 02:12:20.718753+00,ad132eac-bce5-4440-b976-19d96562550e,1750,si,,,true,buenos_aires_amba,,[]
208,2026-05-04 02:12:43.786291+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,636,si,,,true,buenos_aires_amba,,[]
209,2026-05-04 02:12:48.4172+00,ad132eac-bce5-4440-b976-19d96562550e,1823,si,,,true,buenos_aires_amba,,[]
210,2026-05-04 02:13:52.322254+00,e6da2cd4-ef31-438d-b7f8-caf8da65dbc3,673,parcialmente,,,true,buenos_aires_amba,,[]
211,2026-05-04 02:46:26.900318+00,5fbfe904-b28c-488a-af2c-72da45e8ba31,14,parcialmente,No se entiende desde unos 30,,true,buenos_aires_amba,,[]
212,2026-05-04 02:46:52.141378+00,5fbfe904-b28c-488a-af2c-72da45e8ba31,20,no,,,true,buenos_aires_amba,,[]
